genero,nombre_subgenero
Thriller,Thriller sicológico
Ciencia ficción,Ciencia ficción apocalíptica
Misterio,Noir
Familiar,Distopía
Fantasía oscura,Grimdark
Acción,Thriller de Acción
Drama,Comedia dramática
Thriller sicológico,Horror
Biografía,Autobiografía
Ciencia ficción,Biopunk
Fantasía,Fantasía oscura
Romance Planetario,Romance
Ciencia ficción,Romance Planetario
Biopunk,Cyberpunk
Comedia,Comedia dramática
Ciencia ficción apocalíptica,Distopía
Guerra,Ficción histórica
Aventura,Acción
Deporte,Ficción deportiva
Cyberpunk,Tecnología Avanzada
Ciencia ficción,Cyberpunk
Histórico,Histórico Romántico
Animación,Animación Infantil
Slasher,Antagonista Asesino
Música,Música Temática
Horror,Slasher
Crimen,Crimen Organizado
Romance,Drama Romántico
